# LeetCode Solution Details
0009:4,90.01,12.5,50.43
0013:13,35.21,12.3,82.80
0014:4,20.90,12.4,59.52
0026:0,100.00,13.8,53.19
0026:3,9.05,44.9,38.86
0027:0,100.00,12.4,78.50
0027:0,100.00,42.4,8.89
0028:7,3.99,12.4,50.97
0050:0,100.00,41.8,87.05
0058:0,100.00,12.4,69.84
0066:0,100.00,12.5,50.99
0069:38,5.07,41,52.08
0080:2,10.28,44.7,57.33
0080:27,96.19,12.4,94.20
0088:0,100.00,12.5,13.16
0088:0,100.00,42.3,59.02
0121:47,76.39,19.6,11.62
0125:3,98.88,19,28.28
0151:31,5.09,12.7,33.40
0169:1,99.82,53,65.23
0185:561,36.62,0,100
0189:4,58.20,22.7,46.89
0367:0,100.00,39.9,98.32
0372:4,75.52,44.3,61.51
0392:0,100.00,17.8,66.68
0441:515,27.07,12.4,78.95
0584:340,86.76,0,100
0595:416,84.33,0,100
0626:641,45.17,0,100
0633:3,94.95,40.4,60.59
1258:712,47.05,0,100
1524:0,100.00,17.6,83.05
1670:209,90.54,0,100
1811:834,46.20,0,100
1827:787,35.64,0,100
1908:346,82.43,0,100
2127:509,19.29,0,100
2473:627,7.77,34,14.35
2844:1,100.00,44.1,95.31
3062:573,19.90,64.7,95.87
3065:684,10.24,65.2,92.86
3076:589,24.98,65.5,76.23
